annotation_id,tweet_id,author_id,created_at,customer_message,intent_proposed,expected_decision_proposed,evidence_required_proposed,label_notes_proposed,review_status
1,1646134,502979,Mon Nov 06 00:34:09 +0000 2017,Hey - what s up with the error showing up for I on instagram and facebook? Showing up as an A and a ? In a box?,general_complaint_unclear,ESCALATE,YES,"Message is vague, primarily a complaint, or lacks enough information for a specific intent.",PROPOSED - HUMAN REVIEW REQUIRED
2,1711973,234042,Tue Nov 07 01:26:24 +0000 2017,Your stupid fix didn t work,general_complaint_unclear,ESCALATE,YES,"Message is vague, primarily a complaint, or lacks enough information for a specific intent.",PROPOSED - HUMAN REVIEW REQUIRED
3,2517150,717034,Thu Nov 16 02:23:31 +0000 2017,"Can t receive calls, I m on iOS 11.1.1",software_update_issue,AUTO_HANDLE,YES,Primary issue appears related to an OS update or update behavior.,PROPOSED - HUMAN REVIEW REQUIRED
4,2377160,685611,Tue Nov 14 03:09:09 +0000 2017,Why can t I access my music from the control center? I need that back,general_complaint_unclear,ESCALATE,YES,"Message is vague, primarily a complaint, or lacks enough information for a specific intent.",PROPOSED - HUMAN REVIEW REQUIRED
5,1409129,447533,Wed Nov 01 22:23:16 +0000 2017,I updated to iOS 11.1 &amp; now I m receiving texts on my watch but they re not showing on my phone. I ve already restarted...,data_storage_backup,AUTO_HANDLE,YES,"Primary issue concerns storage, backup, recovery, or missing data.",PROPOSED - HUMAN REVIEW REQUIRED
6,334140,195609,Sat Oct 07 18:05:29 +0000 2017,Why does it take long for Apple Music to go back on my phone?,apps_media_services,AUTO_HANDLE,YES,Primary issue concerns an Apple app/media/service feature.,PROPOSED - HUMAN REVIEW REQUIRED
7,486242,230685,Fri Dec 01 11:58:17 +0000 2017,"my phone keeps deleting everything, I have lost 2 years of texts and pictures, what can I do about this?",data_storage_backup,AUTO_HANDLE,YES,"Primary issue concerns storage, backup, recovery, or missing data.",PROPOSED - HUMAN REVIEW REQUIRED
8,1643376,502269,Sun Nov 05 22:45:45 +0000 2017,I see u updated ur iPhone. Can't say 'I'. As you can see I refuse to do the update. Battery dies in seconds too. Not cool.,battery_power_charging,AUTO_HANDLE,YES,"Primary issue concerns battery, charging, cable, or power.",PROPOSED - HUMAN REVIEW REQUIRED
9,1807806,543108,Sat Oct 14 08:20:00 +0000 2017,"i charged my phone to 80%, was at 50% when I was at work, drove home (8 mins!) and now it's at 36%, pls fix this",billing_purchase_payment,ESCALATE,YES,Financial/purchase-related request; conservative escalation draft.,PROPOSED - HUMAN REVIEW REQUIRED
10,1159425,392755,Tue Oct 24 16:36:55 +0000 2017,Thanks! It's just this one Wi-Fi--my home network.,connectivity_network,AUTO_HANDLE,YES,"Primary issue concerns network, Wi-Fi, Bluetooth, cellular, or SIM.",PROPOSED - HUMAN REVIEW REQUIRED
11,193687,161543,Wed Oct 04 14:49:42 +0000 2017,thanks for the iPhone update! NOT it s totally buggered up my phone making it freeze and slow,software_update_issue,AUTO_HANDLE,YES,Primary issue appears related to an OS update or update behavior.,PROPOSED - HUMAN REVIEW REQUIRED
12,700043,287029,Thu Nov 23 14:08:47 +0000 2017,"pls help. When I plug my phone in, the apple logo pops up, and then the logo goes away and the phone is shut off. I can't seem to fix this, and I'm not sure what to do :/",general_complaint_unclear,ESCALATE,YES,"Message is vague, primarily a complaint, or lacks enough information for a specific intent.",PROPOSED - HUMAN REVIEW REQUIRED
13,1953033,579873,Sun Oct 29 15:10:17 +0000 2017,"I updated to the new iOS recently, and it keeps crashing my phone and various apps also...what can I do?",software_update_issue,AUTO_HANDLE,YES,Primary issue appears related to an OS update or update behavior.,PROPOSED - HUMAN REVIEW REQUIRED
14,2032810,141690,Fri Jun 16 17:57:38 +0000 2017,"- how do I track a weight lifting workout on my Apple Watch Series 2 as an Activity""?I feel like I'm not getting credit",product_howto_information,AUTO_HANDLE,YES,Clear information or how-to request.,PROPOSED - HUMAN REVIEW REQUIRED
15,1180136,397540,Sat Nov 25 18:55:13 +0000 2017,"well, you see that s the thing. I removed the program file folders from the trash so that the program would be completely removed from my computer. Now I m just trying to erase my drive and reinstall High Sierra, but now my drive is unrepairable and not bootable.",software_update_issue,AUTO_HANDLE,YES,Primary issue appears related to an OS update or update behavior.,PROPOSED - HUMAN REVIEW REQUIRED
16,146726,149311,Fri Nov 24 07:27:52 +0000 2017,"Gutted. At Southampton store y day, told there d no NO B/Friday deals so bought MacBook Air. Today email: wd be £120 gift card",billing_purchase_payment,ESCALATE,YES,Financial/purchase-related request; conservative escalation draft.,PROPOSED - HUMAN REVIEW REQUIRED
17,1684525,511919,Mon Nov 06 14:39:43 +0000 2017,So.. is this due to the update that I'm refusing thus far?,software_update_issue,AUTO_HANDLE,YES,Primary issue appears related to an OS update or update behavior.,PROPOSED - HUMAN REVIEW REQUIRED
18,1902411,261337,Tue Oct 24 23:53:52 +0000 2017,Dear thank you for turning my iPhone 6s into a piece of shit due to ios11. Planned obsolescence- got it. Next phone Apple? No thx.,software_update_issue,AUTO_HANDLE,YES,Primary issue appears related to an OS update or update behavior.,PROPOSED - HUMAN REVIEW REQUIRED
19,261307,178216,Thu Oct 05 21:43:03 +0000 2017,"I m getting notifications that my cloud storage is full, &amp; I m not interested in subscribing for more. Can I disable those alerts?",data_storage_backup,AUTO_HANDLE,YES,"Primary issue concerns storage, backup, recovery, or missing data.",PROPOSED - HUMAN REVIEW REQUIRED
20,855437,323160,Fri Oct 13 07:17:19 +0000 2017,"been passed from one advisor to another, who only tell me since photos are not on iCloud, there is NO way to retrieve photos",data_storage_backup,ESCALATE,YES,"Primary issue concerns storage, backup, recovery, or missing data.",PROPOSED - HUMAN REVIEW REQUIRED
21,1172510,121800,Sun Oct 15 15:19:04 +0000 2017,"ever since had the most recent update your app keeps stalling and freezes my phone, help!!! I can t work without you",software_update_issue,AUTO_HANDLE,YES,Primary issue appears related to an OS update or update behavior.,PROPOSED - HUMAN REVIEW REQUIRED
22,1588250,488459,Sat Nov 04 19:25:57 +0000 2017,Yo y all need to fix this bug,general_complaint_unclear,ESCALATE,YES,"Message is vague, primarily a complaint, or lacks enough information for a specific intent.",PROPOSED - HUMAN REVIEW REQUIRED
23,2286926,664475,Sun Nov 12 00:56:02 +0000 2017,"omg please fix this ASAP, I don't wanna download every album again",general_complaint_unclear,ESCALATE,YES,"Message is vague, primarily a complaint, or lacks enough information for a specific intent.",PROPOSED - HUMAN REVIEW REQUIRED
24,2038065,602617,Tue Nov 07 02:45:11 +0000 2017,so why does my music turn off the moment I get a text or I open an app?? Been doing it all day.,general_complaint_unclear,ESCALATE,YES,"Message is vague, primarily a complaint, or lacks enough information for a specific intent.",PROPOSED - HUMAN REVIEW REQUIRED
25,686856,284001,Thu Nov 23 05:11:20 +0000 2017,Thanks why is my lighting cable bullshit? In under 6 months I can t charge my iPad.,billing_purchase_payment,ESCALATE,YES,Financial/purchase-related request; conservative escalation draft.,PROPOSED - HUMAN REVIEW REQUIRED
26,2723667,764010,Tue Jun 13 10:34:17 +0000 2017,I purchased extra storage but it's not reflecting. Can you help,billing_purchase_payment,ESCALATE,YES,Financial/purchase-related request; conservative escalation draft.,PROPOSED - HUMAN REVIEW REQUIRED
27,2283104,663542,Sat Nov 11 19:25:15 +0000 2017,How long is gonna let this I thing go on for until they fix I t. They re prob getting so much enjoyment out of I t,general_complaint_unclear,ESCALATE,YES,"Message is vague, primarily a complaint, or lacks enough information for a specific intent.",PROPOSED - HUMAN REVIEW REQUIRED
28,2942210,812884,Wed Nov 29 05:27:08 +0000 2017,What s up with these I replacements they re soooo annoying! fix this !,general_complaint_unclear,ESCALATE,YES,"Message is vague, primarily a complaint, or lacks enough information for a specific intent.",PROPOSED - HUMAN REVIEW REQUIRED
29,1622336,178335,Tue Oct 17 03:32:29 +0000 2017,"iOS 11.0.3 really just awful for my iPhone 7. Can t make calls, apps not responding, and it freezes.",software_update_issue,AUTO_HANDLE,YES,Primary issue appears related to an OS update or update behavior.,PROPOSED - HUMAN REVIEW REQUIRED
30,1978681,399288,Tue Oct 31 19:21:25 +0000 2017,"There is no damn way, my storage is full. I barely have anything on my phone.",data_storage_backup,AUTO_HANDLE,YES,"Primary issue concerns storage, backup, recovery, or missing data.",PROPOSED - HUMAN REVIEW REQUIRED
