customer_tweet_id,customer_text,apple_tweet_id,apple_text
697,@AppleSupport The newest update. I️ made sure to download it yesterday.,699,@115854 Lets take a closer look into this issue. Select the following link to join us in a DM and we'll go from there. https://t.co/GDrqU22YpT
698,@AppleSupport https://t.co/NV0yucs0lB,696,@115854 We're here for you. Which version of the iOS are you running? Check from Settings &gt; General &gt; About.
702,@AppleSupport Tried resetting my settings .. restarting my phone .. all that,701,@115855 Let's go to DM for the next steps. DM us here: https://t.co/GDrqU22YpT
704,@AppleSupport This is what it looks like https://t.co/XCQU2l4xUB,703,@115855 Any steps tried since it started last night?
707,@AppleSupport I️ have an iPhone 7 Plus and yes I️ do,705,@115855 That's great it has iOS 11.1 as we can rule out being outdated. Any steps tried since this started? Do you recall when it started?
709,@AppleSupport I️ need answers because it’s annoying 🙃,708,@115855 We'd like to look into this with you. Which model do you have and is iOS 11.1 installed? Any steps tried so far?
717,@AppleSupport This is what is happening... https://t.co/X3SZSJXfAT,716,@115857 We'd like to investigate further with you. Send us a DM and we can troubleshoot more from there. https://t.co/GDrqU22YpT
719,Tf is wrong with my keyboard @115858,718,"@115857 Fill us in on what is happening, then we can help out from there."
721,@AppleSupport are the call centres closed for the night?,720,@115859 We've received your DM and will continue there.
723,@115858 @AppleSupport hello are all the lines closed for tonight #help,722,@115859 What's going on? We're hapy to help if we can. https://t.co/GDrqU22YpT
733,@AppleSupport I’ve got a screenshot saying my #iPhoneX is reserved for the 3rd then an email saying it’s the 18th... what happened?,732,@115863 Go ahead and send us a DM please. Let us know the country you're in.
735,@AppleSupport I have the iPhone 6s Plus and just did the most recent update.,737,"@115864 To make sure, is iOS 11.1 installed on it currently? Also, any steps tried so far? DM us here: https://t.co/GDrqU22YpT"
736,Thank you @AppleSupport I updated my phone and now it is even slower and barely works. Thank you for ruining my phone.😤,734,"@115864 We'd like to help, but we'll need more details. What's happening on your device and which model is it? Do you have iOS 11.1?"
739,@AppleSupport iOS 11.0.3,741,"@115865 Let's check Settings &gt; General &gt; Software Update. iOS 11.1 was released earlier today. If you see it, please backup &amp; update."
742,@AppleSupport Okey. Thank you! 🤗,743,"@115865 Our pleasure. If you're still having issues after a back up and update, contact us back. We're happy to help."
740,@AppleSupport iPhone 7 Plus 😊,738,@115865 Thanks! Which iOS version is currently showing in Settings &gt; General &gt; About?
745,@AppleSupport I need the software update urgently. The battery lasts literally half a day 🙍🏼🙁@AppleSupport,744,@115865 Hi there! What type of device are we working with?
747,Hola @AppleSupport necesito urgente la actualización de software. La batería me dura literal medio día 🙍🏼🙇🏼‍♀️,746,@115865 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs
749,@AppleSupport Hi! What is going on? Has Youtube lost it? What can be done about it? Thanks for the support! https://t.co/T8ZZp4IH6t,748,@115866 We want to help! DM us and let us know more about the issues you are having. https://t.co/GDrqU22YpT
751,@AppleSupport ? hello,750,@115867 We'd like to get you speaking to our experts here: https://t.co/IBIY3vMgPj
754,"@AppleSupport Yes it did, 11.0.3",753,"@115868 We've just released iOS 11.1. We suggest backing up &amp; updating. Then, test the issue again. Here's how: https://t.co/80YRnjDFDk"
756,MY HOME BUTTON DOESN’T WORK #IOS11 @AppleSupport,755,@115868 Let us help with your Home button. Did this issue start right after iOS 11? Which version of iOS 11 are you running?
758,Hey @115858! Last time I downloaded an update my freaking phone gave me hell. Any recommendations?,757,@115869 We're here to help. Meet us in DM and we can check on available options. https://t.co/GDrqU22YpT
760,@AppleSupport I can not find an option to get it there. It was just always there when playing.,759,@115870 DM us the specific iOS version you are running currently and we'll continue there. https://t.co/GDrqU22YpT
763,@AppleSupport The app is still there. But no longer able to control it from the lockscreen.,761,"@115870 Just to confirm, this is only happening with Spotify, correct?"
765,After update #ios1103 no spotify on my lock screen?@AppleSupport,764,@115870 Thanks for reaching out to us. Are you experiencing the missing app after restating your device?
767,I just need @115858 to do something about the battery life because it sucks ass,766,@115871 We want to help you get your battery life back on track. Please DM and we'll look at it together. https://t.co/GDrqU22YpT
1755,Why does my I️ not work ?! @115858 please fix this!!!,1754,@116097 We'd like to look into this with you. Please DM us your current iOS version and your iPhone model. https://t.co/GDrqU22YpT
1757,@AppleSupport I️ just updated it and it’s still coming up https://t.co/22RZsQyTbh,1756,@116098 Let's dig into this further with you. DM us and we'll continue there.
1759,Why is “I️” keep changing to this and how do I️ stop it🤦🏽‍♀️ @115858 @AppleSupport #anybody https://t.co/urzAfSZL5z,1758,"@116098 We definitely understand your concern. Please backup your iPhone, update and let us know the result: https://t.co/ahjigcvFRG"
1761,iOS 11 is killing my battery @115858. Fix it.,1760,@116099 We're here to help. Which exact iOS version is your device running? This info can be found under Settings &gt; General &gt; About.
1763,"@AppleSupport Thanks, thing is I still have like 81 cents in credit and won't let me do that until I have zero credit",1765,@116100 Try contacting our iTunes Store team here for more help: https://t.co/SDIe7UiyJN
1764,"@AppleSupport Hello, I need some help regarding the region change on my Apple ID",1762,@116100 This article should help with that: https://t.co/usOJWy6ChP
1768,"@AppleSupport it has, but not for some time now. i’ve tried with two different apple ids but it’s still not showing up on my phone",1767,@116101 Thanks for clarifying. Let's meet in DM so we can do more in-depth on this. https://t.co/GDrqU22YpT
1770,@AppleSupport why is my home sharing not working and how do i fix it,1769,@116101 We're happy to help. Has Home Sharing worked with these devices before?
1772,"@AppleSupport iPhone 6, yes ios11. Checked for updates, none available. I’ve swiped up to close the app several times and I’ve restarted it 2x",1774,"@116102 To make sure, is iOS 11.1 showing here: Settings &gt; General &gt; About &gt; Version? Please DM us the answer here: https://t.co/GDrqU22YpT"
1775,@AppleSupport @116102 Battery life just got worst.,1777,"@116103 We'll make sure to get this straightened out. DM us, and we'll see you there. https://t.co/GDrqU22YpT"
1773,"@AppleSupport I just get a white screen and nothing loads. After a short time, it just closes/crashes. Thanks for the reply.",1771,@116102 Which model do you have and is iOS 11.1 installed on it? Any steps tried so far?
1779,@115858 my PHONE app doesn’t work. Thank you for updating my #iPhone to an #ipod,1778,@116102 We want you to be able to make calls on the iPhone. What exactly is going on with the Phone app?
1781,@AppleSupport why can’t I change ringer volume with the buttons? Whose dumb idea was it to change that and how do they still have a job?,1780,@116104 Let us look into that. What device and OS version are you using?
1783,@115858 if my words even mean a thing to you; I am an iPhone 7 owner and have updated to your latest software and now am having the most dropped calls in history and glitch’s such as apps randomly opening and more ... #iHelp,1782,@116105  We want to help.  Send us a DM letting us know if you are updated to iOS 11.1 https://t.co/GDrqU22YpT
1785,@AppleSupport epıl bana yardımcı olur musun telefon internet konusunda çok yakıyo napcaz ?,1784,@116106 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj
1787,@AppleSupport Worked 👌🏽,1786,@116107 Glad to hear and just reach out again if you need help. Have a good one!
1789,@AppleSupport No I had 11.0.3 but now it says 11.1 update so ima go ahead and do that,1788,@116107 Please keep us posted afterwards.
1791,why won’t my apps fuccin download or update @AppleSupport,1790,@116107 Apps are important and we want you to get back to enjoying them. Which model do you have? Is iOS 11.1 installed on it?
2610,@AppleSupport $100 billion says that solves my problem? I’m on 11.0.3 currently. Hold please.,2609,@116332 Let us know and we'll continue from there. https://t.co/GDrqU22YpT
2613,"Cupertino, we have a problem. .@115858 .@116333 .@AppleSupport .@190 https://t.co/ImMcJ8QsTM",2611,@116332 We'd like to see what we can do to assist. What version of iOS are you currently running? We released iOS 11.1 today.
2615,"@AppleSupport Yes, after the update. I Phone 7",2617,@116334 Got it. Does this happen while using any particular App or feature? Let us know via a DM. We’ll keep moving forward from there. https://t.co/GDrqU22YpT
2616,"@AppleSupport why is my battery life short? I updated to 11.1, my battery is poor. Wife didn’t she likes her battery life",2614,"@116334 Let’s work together on this situation. To clarify, did this start after updating to iOS 11.1? Also, which device are you using?"
2619,@AppleSupport But this does not show the music stored on my phone like it did in os3. I do not want to store music on my phone.,2621,@116335 We certainly want to take a closer look into this issue. Select the following link to join us in a DM and we'll go from there. https://t.co/GDrqU22YpT
2620,@AppleSupport watchOs4 made my watch pointless Browsing music on my phone via the watch was 80% reason for buying it now it’s useless.,2618,@116335 You should still be able to control Music on your iPhone from the watch. Check out the user guide here: https://t.co/vRQnmrhVHj
2627,@AppleSupport iOS 11.1 it’s been getting worse for a few months now,2629,@116337 Please meet with us in DM. We'd like to gather some additional details from you. https://t.co/GDrqU22YpT
2628,Question- @249 @115858 my iPhone6 dies very quick (have to charge it 3 times a day) my iPhone5 battery was faulty. Could this be the same?,2626,"@116337 We know how important your battery is &amp; we'll be happy to help. Which iOS version are you using? Also, when did this issue begin?"
2631,"@AppleSupport iPhone 7+, iOS 11.1",2633,"@116338 Thank you very much! Send us a DM to let us know if your speaker doesn't work on calls, or if other apps are affected as well. https://t.co/GDrqU22YpT"
2632,And why is my music NEVER in my control center?! @AppleSupport,2630,@116338 We're here to help out! Which device is this on and which version of iOS is currently installed?
2635,"@115858 Just updated iOS on iPhone7, now iCloud backup greyed out, cannot be turned on, says “Last Backup Never”",2634,@116339 Check out this link: https://t.co/Lr8zUtw9ls Send us a DM if it doesn't help. https://t.co/GDrqU22YpT
2637,"@AppleSupport Hi, I plugged an adapter straight into the transformer and it still didn't charger. The charger LED does not light up either.",2639,@116340 We certainly want to take a closer look into this. Select the following link to join us in a DM and we'll go from there. https://t.co/GDrqU22YpT
2638,@AppleSupport ...cost for sending in for diagnosing a problem if it's out of warranty?,2636,@116340 We can help. Let’s start with the following steps to see if we can save you a trip in for service: https://t.co/RqWW0duJ0U
2642,@AppleSupport still no reliable Bluetooth on my iPhone 8+.,2641,@116341 Thanks for reaching out. DM which Bluetooth device you are trying to connect to so we can help. https://t.co/GDrqU22YpT
2644,"@AppleSupport When you roll the month, it does not appear and hangs",2646,@116342 We'd like to take a closer look at this. DM us and we'll go from there. https://t.co/GDrqU22YpT
2645,@115858 when will the bug in the calendar app be fixed? I upgraded to iOS 11.1 and it still crashes when iOS 11.03,2643,@116342 We'd like to help. What is going on with the app?
2648,@AppleSupport do you have any apps for epilepsy so I can detect my seizures thanks in advance,2647,"@116343 Hey, we can provide some guidance. Let's meet in DM and we'll go from there. https://t.co/GDrqU22YpT"
2650,"@115858 really needs to fix this update. My phone has never been slower, for real.",2649,@116344 We're here to help with any issues you may having with performance. Let us know the exact iOS version to get started.
2652,@AppleSupport 11.0.3,2651,@116345 Got it. We'd recommend backing up and updating your device to 11.1 and test things out further. Keep us posted on the results.
2654,@AppleSupport newest version of iOS and iPhone 7,2653,"@116345 Since we just released iOS 11.1 today, can you clarify which exact version you have installed?"
2665,@AppleSupport Yes,2667,@116348 Thank you for reaching out. We've received your DM and will continue working with you there.
2671,@AppleSupport @AppleSupport ^^check this out,2669,@116349 Send us a DM please and we will go from there. https://t.co/GDrqU22YpT
2676,@AppleSupport HELP ME. I have a problem with my iPhone 7😑,2675,@116349 We're happy to help. What seems to be the problem?
2678,"@AppleSupport Any idea why icons show up like this? I did force reset to no avail. After initial notification display, they show up. https://t.co/qBFIAlpGyD",2677,"@116350 We're here for you. DM us, and we'll look into this together. https://t.co/GDrqU22YpT"
2680,@AppleSupport It’s sorted. Thanks. iOS update needed a change and hard reboot,2679,@116351 We're glad to hear that's sorted out for you. Have a great day.
2682,@AppleSupport ios 11.0.3 on 6s. Cannot adjust alarm volume so waking up all in my house and neighbours despite ringer being set to minimum!,2681,"@116351 We'd love to help with your alarm volume. Is the option to ""Change with Buttons"" disabled under Settings &gt; Sounds?"
2684,@AppleSupport live photo keeps turning on in the camera even when it’s set to stay off. Please fix in next update.,2683,"@116352 Hey, we can work together to figure out a solution. Send us a DM and we'll continue from there. https://t.co/GDrqU22YpT"
3761,Listen I’m having issues with my phone so like can you @ me so we can talk @AppleSupport,3760,@116620 We're here to help. Send us a DM with the issue and we'll follow up from there. https://t.co/GDrqU22YpT
3763,"@AppleSupport 11.1?? when did that come out lol, i talked to you guys last night and you asked if i was updated to 11.0.3 which i am lol",3765,"@116621 It was released earlier today. Let's use these steps to update iOS:  
 https://t.co/80YRnjDFDk"
3764,not only does my phone keep freezing but when i screenshot things it turns out white... really not liking this iphone 8 plus @AppleSupport,3762,@116621 Let's look at this together. Are you updated to iOS 11.1?
3767,@AppleSupport I’m no expert in battery life but 40% doesn’t go to 7% in 5minutes,3766,"@116622 We understand your concerns, and want to help. Which device is this happening on?"
3769,@AppleSupport That fixed it thanks,3771,@116623 That's great! Enjoy the rest of your day.
3770,@AppleSupport this is my top bar every time I open messages on my SE after updating to iOS 11.1 https://t.co/Lzge3qzc7w,3768,@116623 Thank you for reaching out to us. Have you tried to restart the device? Let us know to get started.
3776,"@AppleSupport still happening, including on iOS 11.2 beta now. any ideas?",3778,@116625 Thanks for the update. Go ahead and send us a DM and we'll take it from there. https://t.co/GDrqU22YpT
3777,"@AppleSupport I've also forced the app to close from the background and reopened, no dice 🎲",3775,@116625 Let’s team up on this. How long has this been happening? What version number of iOS are you running? Which iPhone do you have?
4870,@AppleSupport iPhone 6 and yes it’s got the latest software update,4872,"@116853 Thanks for letting us know. We'd like to take a further look into this. Please send us a DM, and we'll continue there. https://t.co/GDrqU22YpT"
4871,Really considering getting a new kind of phone since my iPhone dies with 90% while using my camera 😤 @115858 @AppleSupport @318,4869,@116853 We want to help! What model of iOS device are you using? Do you have the most recent version of iOS 11.1 downloaded?
4875,Come on @AppleSupport #ios11.1 Same bug as before. Numbers disappear when entering info. Video below. #iosproblems https://t.co/eKirAn2Mam,4873,@116854 Let's investigate this together. Does this only occur when using specific apps or website?
4877,@AppleSupport Restarting does resolve the issue. Thanks.,4876,@116855 We're glad to hear that resolved the issue. Don't hesitate to reach out to us if you have any questions. Take care.
4879,@AppleSupport I can’t download songs. Progress icon keeps spinning. On both data + WiFi. Stream works though. Can’t add songs to playlists. https://t.co/x7uUxSqO9u,4878,@116855 We want to help. Does restarting help at all? DM us which iOS version you're on and we'll continue support there. https://t.co/GDrqU22YpT
4881,@AppleSupport iOS 11.1,4883,@116856 Are all of your apps updated as well?
4884,@AppleSupport It,4886,@116856 We'd be happy to look into this with you further. DM us using the link below and we'll go from there. https://t.co/GDrqU22YpT
4882,@AppleSupport tell me why I️’I’ve updated my phone twice and I️ can’t type letter I️ without getting a letter A and a question mark,4880,@116856 We're here for you. What is the exact version of the iOS you're running? Check by tapping Settings &gt; General &gt; About.
4889,@AppleSupport And the new ones tauntingly pretend they are saved- it’s just when I click on them or try to send them that the grey screen shows,4891,"@116857 We appreciate those details. For more help with Photos, please reach out to our Photos experts here: https://t.co/IBIY3vMgPj"
4890,"@AppleSupport whenever I try to see the photos that I’ve just taken my #iphone6 shows me this. I’ve reset it, I’ve restored it... help? https://t.co/8tQy27WvMe",4887,@116857 We know how important it is to be able to view your photos. Are you able to see older photos on your iPhone?
4893,This “I️” shit annoying yo @115858 fix this shit,4892,@116858 We're here to help. Send us a DM with the iOS version number you're on. We'll follow up there. https://t.co/GDrqU22YpT
4897,@AppleSupport AFTER I️ updated my phone.,4898,@116859 Does that continue after restarting your iPhone? Do you have any other iOS devices or a Mac computer? Let us know in DM. https://t.co/GDrqU22YpT
4896,@AppleSupport please make this stop!!! https://t.co/YoyrO8iZKe,4894,"@116859 Let’s work together on this behavior. How long has this been happening? Also, which device are you using?"
