annotation_id,customer_message,human_intent,human_decision,human_correctness,human_groundedness,human_helpfulness,human_tone,human_unsupported_claims,judge_correctness,judge_groundedness,judge_helpfulness,judge_tone,judge_unsupported_claims
96,"So my iPhone has been a nightmare since the update. Try to review things or look at accounts and end up deleting and unfollowing in addition to all of the other problems. This is bullshit,",software_update_issue,AUTO_HANDLE,,,,,,,,,,
16,"Gutted. At Southampton store y day, told there d no NO B/Friday deals so bought MacBook Air. Today email: wd be £120 gift card",billing_purchase_payment,ESCALATE,,,,,,,,,,
31,Thanks. It s an iPhone 7 with version 11.0.1,general_complaint_unclear,ESCALATE,,,,,,,,,,
159,iPhone 8 with iOS 11.1.1,software_update_issue,AUTO_HANDLE,,,,,,,,,,
129,has been the single worst update ever releasesed. Keychain passwords have been lost and mbp does not boot anymore.,data_storage_backup,AUTO_HANDLE,,,,,,,,,,
116,"I had zero problems with my phone before I updated. Now i have 99 problems, thanks",software_update_issue,AUTO_HANDLE,,,,,,,,,,
70,"WTF did your new update do to my phone, I can't type ""I"" on my phone without it being changed to random symbols.",software_update_issue,AUTO_HANDLE,,,,,,,,,,
171,", what have you done to my phone, doing an update and I'm 6 hours in and still a blank phone , not happy",software_update_issue,AUTO_HANDLE,,,,,,,,,,
175,"Dear The ios 11 has a failure in the keyboard, ussually when I enter to wpp and some of the apps, they dissapear from time to time...",software_update_issue,AUTO_HANDLE,,,,,,,,,,
46,"I've got the iPhone 6s and want to install the latest update but I'm concerned I'd have to connect it to a laptop to complete the update, but I do not have one anymore, pls assist?",software_update_issue,AUTO_HANDLE,,,,,,,,,,
67,Wat is dit nou weer. Touch id doet het in 1 keer niet meer,device_hardware_issue,AUTO_HANDLE,,,,,,,,,,
183,iPhone SE. I m using the latest version of iOS 11 (11.0.3),software_update_issue,AUTO_HANDLE,,,,,,,,,,
166,How do I set up Apple Pay cash.,billing_purchase_payment,ESCALATE,,,,,,,,,,
79,(I realise that s a bit of a contradiction. Look forward to hearing from you ),general_complaint_unclear,ESCALATE,,,,,,,,,,
187,the update made it so that I can t airdrop songs from garageband to my voice notes. You ve ruined me.,data_storage_backup,AUTO_HANDLE,,,,,,,,,,
178,Hi . Was just wondering when the update to fix the lock screen music/ radio/ podcasts problem.,apps_media_services,AUTO_HANDLE,,,,,,,,,,
57,Love my new MacBook Pro... Hate the fact my 6 year old Pro has better battery life than this brand new one,battery_power_charging,AUTO_HANDLE,,,,,,,,,,
153,this is whts happening with ur ios11 and abv updates blacked out screen,software_update_issue,AUTO_HANDLE,,,,,,,,,,
83,here s your daily reminder that your product is trash I,general_complaint_unclear,ESCALATE,,,,,,,,,,
69,can you explain to me why eye can t type the letter i capitalized without it doing this nonsense?,general_complaint_unclear,ESCALATE,,,,,,,,,,
125,why am I locked out of my iCloud account ?,account_access_security,ESCALATE,,,,,,,,,,
17,So.. is this due to the update that I'm refusing thus far?,software_update_issue,AUTO_HANDLE,,,,,,,,,,
149,is there any way I can check the overall battery health of my 7+?,battery_power_charging,AUTO_HANDLE,,,,,,,,,,
94,&amp; neither of them have a customer service number to call,product_howto_information,AUTO_HANDLE,,,,,,,,,,
66,Also what is the delayed response while typing?! I should able to send messages that aren t a jumbled mess of letters,product_howto_information,AUTO_HANDLE,,,,,,,,,,
61,"Yep. In settings, the wifi is on but says not connected. I have to toggle it on and off 2-3 times before it allows me to be connected again.",connectivity_network,AUTO_HANDLE,,,,,,,,,,
85,"I am very unhappy my iPhone decided to update itself without my permission, and now it doesn t work! Get me a new phone or give me my old software back!",software_update_issue,AUTO_HANDLE,,,,,,,,,,
68,"please fix ur new ios. My iPhone X keeps turning off cellular data by it self. Disappearing contacts, Bluetooth turns on by it self. Disappointed customer.",connectivity_network,AUTO_HANDLE,,,,,,,,,,
126,it s very slow and glitches a lot !!!!!!,device_hardware_issue,AUTO_HANDLE,,,,,,,,,,
133,Hey fix the issue with the new IOS 11 update draining my iPhone battery,battery_power_charging,AUTO_HANDLE,,,,,,,,,,
10,Thanks! It's just this one Wi-Fi--my home network.,connectivity_network,AUTO_HANDLE,,,,,,,,,,
19,"I m getting notifications that my cloud storage is full, &amp; I m not interested in subscribing for more. Can I disable those alerts?",data_storage_backup,AUTO_HANDLE,,,,,,,,,,
56,how do i report a High Sierra bug? full-screen preview grid doesn't allow me to scroll.,software_update_issue,AUTO_HANDLE,,,,,,,,,,
76,"Hey , I already pay for so why is it just this morning asking me to join/not giving me an option to sign in....",account_access_security,ESCALATE,,,,,,,,,,
151,ive update my ipad air to ios 11 and its sooooo slow. Ive reboooted it. Is there any wsy i can downgrade it to ios 10?,software_update_issue,AUTO_HANDLE,,,,,,,,,,
105,Super disappointed with &amp; this update ! My iPhone 7 keeps on acting up &amp; it s really getting on my nerves,software_update_issue,AUTO_HANDLE,,,,,,,,,,
136,nope not on shuffle. it just reorganizes the songs in the playlist into its own order on my phone and won't let me change it on the phone,general_complaint_unclear,ESCALATE,,,,,,,,,,
138,how come we keep getting question marks for random emojis and letters?!,general_complaint_unclear,ESCALATE,,,,,,,,,,
165,My phone is driving me mad! keeps freezing and not opening apps! It s virtually a new iPhone7 sort it out,device_hardware_issue,AUTO_HANDLE,,,,,,,,,,
77,Is this happening to anyone else ? This is frustrating,general_complaint_unclear,ESCALATE,,,,,,,,,,
